season,league,match_id,crosses_openplay,shot_links,share_links_per_cross
DFL-SEA-0001K6,2. Bundesliga,DFL-MAT-J03WN3,22,6,0.2727272727272727
DFL-SEA-0001K6,2. Bundesliga,DFL-MAT-J03WN4,15,4,0.26666666666666666
DFL-SEA-0001K6,2. Bundesliga,DFL-MAT-J03WN5,16,2,0.125
DFL-SEA-0001K6,2. Bundesliga,DFL-MAT-J03WN6,23,5,0.21739130434782608
DFL-SEA-0001K6,2. Bundesliga,DFL-MAT-J03WN7,10,3,0.3
DFL-SEA-0001K6,2. Bundesliga,DFL-MAT-J03WN8,21,5,0.23809523809523808
DFL-SEA-0001K6,2. Bundesliga,DFL-MAT-J03WN9,11,6,0.5454545454545454
DFL-SEA-0001K6,2. Bundesliga,DFL-MAT-J03WNA,23,7,0.30434782608695654
DFL-SEA-0001K6,2. Bundesliga,DFL-MAT-J03WNB,21,5,0.23809523809523808
DFL-SEA-0001K6,2. Bundesliga,DFL-MAT-J03WNC,13,4,0.3076923076923077
DFL-SEA-0001K6,2. Bundesliga,DFL-MAT-J03WND,25,7,0.28
DFL-SEA-0001K6,2. Bundesliga,DFL-MAT-J03WNE,22,0,0.0
DFL-SEA-0001K6,2. Bundesliga,DFL-MAT-J03WNF,20,5,0.25
DFL-SEA-0001K6,2. Bundesliga,DFL-MAT-J03WNG,24,4,0.16666666666666666
DFL-SEA-0001K6,2. Bundesliga,DFL-MAT-J03WNH,21,5,0.23809523809523808
DFL-SEA-0001K6,2. Bundesliga,DFL-MAT-J03WNI,17,4,0.23529411764705882
DFL-SEA-0001K6,2. Bundesliga,DFL-MAT-J03WNJ,22,6,0.2727272727272727
DFL-SEA-0001K6,2. Bundesliga,DFL-MAT-J03WNK,17,5,0.29411764705882354
DFL-SEA-0001K6,2. Bundesliga,DFL-MAT-J03WNL,19,4,0.21052631578947367
DFL-SEA-0001K6,2. Bundesliga,DFL-MAT-J03WNM,29,7,0.2413793103448276
DFL-SEA-0001K6,2. Bundesliga,DFL-MAT-J03WNN,25,7,0.28
DFL-SEA-0001K6,2. Bundesliga,DFL-MAT-J03WNO,22,9,0.4090909090909091
DFL-SEA-0001K6,2. Bundesliga,DFL-MAT-J03WNP,19,2,0.10526315789473684
