formation_macro,pattern_cluster,Crosses,ShotRate,MeanShotxG
back4,P1,5301,0.19562346727032634,0.10542359767891682
back4,P2,4574,0.20244862264975952,0.10752361262241567
back4,P3,3456,0.05179398148148148,0.08778324022346369
back4,P4,2816,0.24431818181818182,0.14527565597667638
back4,P5,2634,0.35231586940015186,0.13176713513513513
wingback,P1,4351,0.19995403355550448,0.10600011507479862
wingback,P2,3780,0.2015873015873016,0.11113718791064389
wingback,P3,3038,0.04641211323238973,0.11004397163120568
wingback,P5,2337,0.35258878904578517,0.11789320388349515
wingback,P4,2317,0.24643936124298663,0.13216672504378285
