Season,league,pattern_cluster,Crosses,ShotRate,MeanShotxG
2022/2023,2. Bundesliga,P1,1636,0.1815403422982885,0.10068821548821548
2022/2023,2. Bundesliga,P2,1589,0.19697923222152297,0.09384760383386583
2022/2023,2. Bundesliga,P3,1176,0.047619047619047616,0.10521785714285714
2022/2023,2. Bundesliga,P4,864,0.2361111111111111,0.12111231527093595
2022/2023,2. Bundesliga,P5,861,0.34610917537746805,0.12209362416107382
2022/2023,Bundesliga,P1,1507,0.2090245520902455,0.1065815873015873
2022/2023,Bundesliga,P2,1352,0.20931952662721892,0.11297950530035335
2022/2023,Bundesliga,P3,1064,0.05169172932330827,0.08590909090909091
2022/2023,Bundesliga,P4,773,0.258732212160414,0.142264
2022/2023,Bundesliga,P5,763,0.35386631716906947,0.11812703703703704
2023/2024,2. Bundesliga,P1,1585,0.20504731861198738,0.10865907692307693
2023/2024,2. Bundesliga,P2,1424,0.20926966292134833,0.10599563758389262
2023/2024,2. Bundesliga,P3,1161,0.047372954349698536,0.11270363636363635
2023/2024,2. Bundesliga,P4,892,0.242152466367713,0.13682314814814814
2023/2024,2. Bundesliga,P5,822,0.3381995133819951,0.1299298561151079
2023/2024,Bundesliga,P1,1588,0.1964735516372796,0.09977709677419355
2023/2024,Bundesliga,P2,1335,0.22696629213483147,0.0988056856187291
2023/2024,Bundesliga,P3,1016,0.05216535433070866,0.06663396226415094
2023/2024,Bundesliga,P4,864,0.24189814814814814,0.13200817307692309
2023/2024,Bundesliga,P5,850,0.3458823529411765,0.12015085324232082
2024/2025,2. Bundesliga,P1,1704,0.1942488262910798,0.10149878787878787
2024/2025,2. Bundesliga,P2,1415,0.19010600706713782,0.11751203007518797
2024/2025,2. Bundesliga,P3,1051,0.04281636536631779,0.08026222222222222
2024/2025,2. Bundesliga,P5,819,0.37362637362637363,0.12772960526315788
2024/2025,2. Bundesliga,P4,814,0.2285012285012285,0.16113548387096774
2024/2025,Bundesliga,P1,1632,0.20036764705882354,0.11627239263803682
2024/2025,Bundesliga,P2,1239,0.1791767554479419,0.13418235294117647
2024/2025,Bundesliga,P3,1026,0.05458089668615984,0.12982321428571428
2024/2025,Bundesliga,P4,926,0.2634989200863931,0.14387295081967214
2024/2025,Bundesliga,P5,856,0.3574766355140187,0.13266633986928106
