pattern_cluster,MatchStateForTeam,box_crowded,Crosses,ShotRate,MeanShotxG,MeanBoxBalance,MeanNumDefInBox,MeanNumAttInBox
P1,drawing,0,1876,0.18976545842217485,0.12234691011235956,-1.8550106609808101,4.48773987206823,2.63272921108742
P1,drawing,1,2875,0.19095652173913044,0.09405484460694698,-2.76,7.063652173913043,4.3036521739130436
P1,losing,0,1083,0.1837488457987073,0.11224221105527638,-1.8587257617728532,4.594644506001846,2.7359187442289934
P1,losing,1,2114,0.21475875118259224,0.09663149779735683,-2.664616840113529,7.080889309366131,4.416272469252601
P1,winning,0,734,0.21798365122615804,0.13041761006289307,-1.8841961852861036,4.380108991825613,2.4959128065395095
P1,winning,1,970,0.19484536082474227,0.10199627659574469,-2.827835051546392,7.055670103092783,4.227835051546392
P2,drawing,0,4171,0.19467753536322224,0.11012925925925926,-1.092783505154639,2.6681850875089905,1.5754015823543515
P2,drawing,1,49,0.20408163265306123,0.0486,-2.142857142857143,6.040816326530612,3.8979591836734695
P2,losing,0,2575,0.20310679611650487,0.09605961538461538,-1.137864077669903,2.923883495145631,1.7860194174757282
P2,losing,1,57,0.2807017543859649,0.0584875,-1.6842105263157894,6.035087719298246,4.350877192982456
P2,winning,0,1496,0.21724598930481284,0.13286024844720495,-0.9906417112299465,2.389705882352941,1.3990641711229947
P2,winning,1,6,0.3333333333333333,0.015550000000000001,-0.8333333333333334,6.0,5.166666666666667
P3,drawing,0,2307,0.04854789770264413,0.11991071428571429,-1.4876462938881665,3.4742089293454703,1.9865626354573038
P3,drawing,1,986,0.05070993914807302,0.059408,-2.706896551724138,6.807302231237323,4.100405679513185
P3,losing,0,1349,0.05337286879169755,0.09041388888888889,-1.4462564862861378,3.6679021497405486,2.2216456634544106
P3,losing,1,726,0.03581267217630854,0.09236153846153847,-2.633608815426997,6.815426997245179,4.181818181818182
P3,winning,0,831,0.05054151624548736,0.10336904761904761,-1.417569193742479,3.3309265944645006,1.9133574007220218
P3,winning,1,295,0.061016949152542375,0.08757222222222222,-2.7152542372881356,6.7898305084745765,4.074576271186441
P4,drawing,0,1894,0.23600844772967264,0.13078363228699552,-1.2930306230200634,3.5348468848996832,2.24181626187962
P4,drawing,1,642,0.26947040498442365,0.1400606936416185,-2.2523364485981308,6.696261682242991,4.44392523364486
P4,losing,0,1225,0.20816326530612245,0.1366027559055118,-1.2122448979591838,3.5510204081632653,2.3387755102040817
P4,losing,1,497,0.289738430583501,0.13196805555555555,-2.090543259557344,6.6800804828973845,4.589537223340041
P4,winning,0,701,0.2724679029957204,0.16420052356020942,-1.2154065620542083,3.288159771754636,2.0727532097004278
P4,winning,1,174,0.28160919540229884,0.15313265306122448,-2.2586206896551726,6.689655172413793,4.431034482758621
P5,drawing,0,1015,0.31133004926108376,0.12562120253164558,-1.7783251231527093,4.209852216748769,2.431527093596059
P5,drawing,1,1428,0.3760504201680672,0.12406865671641791,-2.92296918767507,7.1568627450980395,4.233893557422969
P5,losing,0,599,0.328881469115192,0.12292755102040817,-1.7045075125208682,4.235392320534224,2.5308848080133557
P5,losing,1,1001,0.35564435564435565,0.1205935393258427,-2.7412587412587412,7.222777222777223,4.481518481518481
P5,winning,0,424,0.36792452830188677,0.1446903846153846,-1.7476415094339623,4.091981132075472,2.3443396226415096
P5,winning,1,504,0.376984126984127,0.12293492063492063,-2.9087301587301586,7.152777777777778,4.244047619047619
