MatchStateForTeam,pattern_cluster,Crosses,StateTotal,ShareWithinStatePct
drawing,P1,4751,17243,27.553209998260165
drawing,P2,4220,17243,24.473699472249606
drawing,P3,3293,17243,19.097604825146437
drawing,P4,2536,17243,14.70741750275474
drawing,P5,2443,17243,14.168068201589051
losing,P1,3197,11226,28.478531979333688
losing,P2,2632,11226,23.445572777480848
losing,P3,2075,11226,18.483876714769284
losing,P4,1722,11226,15.33939070016034
losing,P5,1600,11226,14.252627828255834
winning,P1,1704,6135,27.77506112469438
winning,P2,1502,6135,24.48247758761206
winning,P3,1126,6135,18.353708231458842
winning,P5,928,6135,15.126324368378159
winning,P4,875,6135,14.26242868785656
