term,beta,se,z,p_value,odds_ratio
Intercept,-1.341717743136926,0.06203874018938019,-21.62709524792384,0.0,0.2613962710654377
box_balance,0.06618827445326002,0.013575863593923805,4.8754374994519045,1.0856756742505524e-06,1.068427855901174
X,-0.00010622705355009823,0.0003495221051985063,-0.303920844977081,0.7611881965128524,0.9998937785883436
Y,-0.00029565561356997605,0.0005277492874921114,-0.560219825165364,0.5753295060341372,0.9997043880882439
box_crowded,0.09657281277010286,0.05422272228351781,1.7810395476853125,0.07490599028209788,1.1013897734646152
state_winning,0.11876281004028709,0.037614642734118915,3.157355790397061,0.001592069625300896,1.1261027863345734
state_losing,0.08566820147856899,0.055157610993863106,1.5531528638559151,0.12038661924454219,1.089444792158647
form_wingback,0.027609601503567147,0.05151074207911501,0.5359969666358474,0.5919606468741059,1.0279942786516916
pattern_P2,0.022194873577784605,0.06603442806883714,0.336110635419568,0.7367874386094218,1.0224430121855643
pattern_P3,-1.4386238271601008,0.10516220862299146,-13.680045769270546,0.0,0.2372540366846074
pattern_P4,0.2620096719416215,0.072992226842178,3.5895558099375755,0.00033124191046174367,1.299539111435019
pattern_P5,0.7418041408441239,0.07701431628287383,9.632029168699946,0.0,2.0997202904705796
pattern_P2_x_state_losing,-0.029295036005733025,0.07983056899969983,-0.3669651409580104,0.7136450202550759,0.9711299039079453
pattern_P2_x_box_crowded,0.2390563866287337,0.22674329177838334,1.0543041196666805,0.29174370322963084,1.2700501484110345
pattern_P2_x_form_wingback,-0.03265719888160948,0.07513080381355419,-0.43467122969497446,0.6638010843447173,0.9678702897448308
pattern_P3_x_state_losing,-0.11674478375808688,0.13585306470329153,-0.8593459706857707,0.39014966871460155,0.8898122587274495
pattern_P3_x_box_crowded,-0.08523583050526497,0.13677660187345386,-0.6231755237209755,0.5331691842189215,0.9182956967253293
pattern_P3_x_form_wingback,-0.14079929655483378,0.1264203708793717,-1.1137389929759203,0.26539117595340134,0.868663637987974
pattern_P4_x_state_losing,-0.18711800504192644,0.08826169488158295,-2.1200363905652946,0.034002976516705585,0.8293458636173697
pattern_P4_x_box_crowded,0.21277472222862254,0.08990359894907951,2.3666986051263197,0.017947541875546147,1.2371059273833558
pattern_P4_x_form_wingback,-0.009886110353417304,0.08316453386627942,-0.1188741148878826,0.9053750896497996,0.9901625965959715
pattern_P5_x_state_losing,-0.11719329809689524,0.08384600903869703,-1.3977206481325497,0.16219697125238142,0.8894132546567751
pattern_P5_x_box_crowded,0.16400242345566401,0.08078788107952863,2.0300374420541853,0.04235273352743274,1.1782171704463373
pattern_P5_x_form_wingback,-0.01356754905580607,0.0788317888372848,-0.1721075882701405,0.863352947206159,0.9865240752971727
league_2bl,-0.05084426320037457,0.027645391951789042,-1.8391587027972753,0.06589184684420091,0.9504266754159323
season_2023_2024,0.017978567246749518,0.03381932287758381,0.5316063633747707,0.5949986565799175,1.0181411545878034
season_2024_2025,-0.013682012892338566,0.03412957610308343,-0.40088434884201407,0.6885052735120314,0.9864111604291402
