term,beta,se,t,p_value
Intercept,0.1202022235007299,0.007248856142858004,16.582233269887713,0.0
box_balance,0.0032929123164659787,0.0015767864039935267,2.088369298546728,0.03676453471397245
X,3.4601573952929053e-06,4.009650508080382e-05,0.08629573545923468,0.9312313284420823
Y,0.00011379549941365159,6.169336334428145e-05,1.8445338889794805,0.06510537169164943
box_crowded,-0.022403148754833138,0.0064893960044574905,-3.452270248177901,0.0005558906591998092
state_winning,0.014664778443414418,0.00433036859885429,3.3864965784423893,0.0007079115925787693
state_losing,4.987700202498744e-05,0.006555824033087211,0.0076080446597191235,0.9939297171885337
form_wingback,-0.0005813623067000488,0.006134954721989057,-0.09476228155626244,0.9245036469619119
pattern_P5,0.014064190339778111,0.008648933071632241,1.6261185308402315,0.10392444266999967
pattern_P2,-0.009513170860003486,0.007808361057425641,-1.2183313233135646,0.22309809142775938
pattern_P4,0.021997342136085462,0.008501922919704042,2.587337281675944,0.00967208658985852
pattern_P3,-0.021854998490185348,0.013270178899635825,-1.6469256861929056,0.0995733215151775
pattern_P5_x_state_losing,-0.00032585355817584677,0.009410685913845506,-0.03462590943519149,0.9723780411426843
pattern_P5_x_box_crowded,0.019200670059046385,0.00910157850162222,2.1095978082949185,0.03489301329433614
pattern_P5_x_form_wingback,-0.013824686365392877,0.008831474901276372,-1.5653881735422086,0.11749191973828932
pattern_P2_x_state_losing,-0.01533061071499529,0.009493895422858115,-1.6147861370038186,0.10635701628977112
pattern_P2_x_box_crowded,-0.02986261949383299,0.026138025261752112,-1.1424971548072949,0.25324742801839895
pattern_P2_x_form_wingback,0.0026922620604073176,0.008931022304609923,0.3014506031428959,0.7630709120080954
pattern_P4_x_state_losing,-0.002318357841118981,0.010358706360425126,-0.223807660962004,0.822906968586804
pattern_P4_x_box_crowded,0.024209494751311088,0.01042106851813522,2.3231297931858537,0.020172180901789627
pattern_P4_x_form_wingback,-0.012011516486756562,0.009704473560565889,-1.2377298378724362,0.21581625160191065
pattern_P3_x_state_losing,-0.009902778283811593,0.017402534803859275,-0.5690422915640716,0.5693274397533452
pattern_P3_x_box_crowded,-0.010031370818699687,0.017498812973988684,-0.5732600739039234,0.5664686145019628
pattern_P3_x_form_wingback,0.02419439063426607,0.016198991028685113,1.4935739263897816,0.13528701857578618
league_2bl,-0.00243769516331143,0.003201615764148106,-0.7613952900310191,0.4464209998225148
season_2023_2024,0.0024833959519729486,0.003911487494636101,0.6348980932135097,0.5254948807655717
season_2024_2025,0.015284683962513323,0.0039621786301137635,3.857646358078122,0.00011448412782955053
