match_id,season,league,team_id,team_role,start_min,end_min,minutes,match_state_for_team,man_adv_state_for_team,crosses_openplay
DFL-MAT-J03WEL,DFL-SEA-0001K6,Bundesliga,DFL-CLU-00000F,home,1.0,4.0,4.0,drawing,even,0
DFL-MAT-J03WEL,DFL-SEA-0001K6,Bundesliga,DFL-CLU-00000F,home,5.0,91.0,87.0,trailing,even,12
DFL-MAT-J03WEL,DFL-SEA-0001K6,Bundesliga,DFL-CLU-00000G,guest,1.0,4.0,4.0,drawing,even,1
DFL-MAT-J03WEL,DFL-SEA-0001K6,Bundesliga,DFL-CLU-00000G,guest,5.0,91.0,87.0,leading,even,5
DFL-MAT-J03WEM,DFL-SEA-0001K6,Bundesliga,DFL-CLU-000007,home,1.0,9.0,9.0,drawing,even,0
DFL-MAT-J03WEM,DFL-SEA-0001K6,Bundesliga,DFL-CLU-000007,home,10.0,91.0,82.0,leading,even,5
DFL-MAT-J03WEM,DFL-SEA-0001K6,Bundesliga,DFL-CLU-000007,home,92.0,96.0,5.0,leading,adv,0
DFL-MAT-J03WEM,DFL-SEA-0001K6,Bundesliga,DFL-CLU-00000B,guest,1.0,9.0,9.0,drawing,even,0
DFL-MAT-J03WEM,DFL-SEA-0001K6,Bundesliga,DFL-CLU-00000B,guest,10.0,91.0,82.0,trailing,even,10
DFL-MAT-J03WEM,DFL-SEA-0001K6,Bundesliga,DFL-CLU-00000B,guest,92.0,96.0,5.0,trailing,disadv,0
DFL-MAT-J03WEN,DFL-SEA-0001K6,Bundesliga,DFL-CLU-00000V,home,1.0,30.0,30.0,drawing,even,5
DFL-MAT-J03WEN,DFL-SEA-0001K6,Bundesliga,DFL-CLU-00000V,home,31.0,94.0,64.0,leading,even,9
DFL-MAT-J03WEN,DFL-SEA-0001K6,Bundesliga,DFL-CLU-00000Z,guest,1.0,30.0,30.0,drawing,even,1
DFL-MAT-J03WEN,DFL-SEA-0001K6,Bundesliga,DFL-CLU-00000Z,guest,31.0,94.0,64.0,trailing,even,4
DFL-MAT-J03WEO,DFL-SEA-0001K6,Bundesliga,DFL-CLU-000008,home,1.0,34.0,34.0,drawing,even,5
DFL-MAT-J03WEO,DFL-SEA-0001K6,Bundesliga,DFL-CLU-000008,home,35.0,48.0,14.0,drawing,adv,2
DFL-MAT-J03WEO,DFL-SEA-0001K6,Bundesliga,DFL-CLU-000008,home,49.0,95.0,47.0,leading,adv,20
DFL-MAT-J03WEO,DFL-SEA-0001K6,Bundesliga,DFL-CLU-000009,guest,1.0,34.0,34.0,drawing,even,1
DFL-MAT-J03WEO,DFL-SEA-0001K6,Bundesliga,DFL-CLU-000009,guest,35.0,48.0,14.0,drawing,disadv,1
DFL-MAT-J03WEO,DFL-SEA-0001K6,Bundesliga,DFL-CLU-000009,guest,49.0,95.0,47.0,trailing,disadv,2
DFL-MAT-J03WEP,DFL-SEA-0001K6,Bundesliga,DFL-CLU-000004,home,1.0,18.0,18.0,drawing,even,0
