season,league,match_state_for_team,man_adv_state_for_team,matches,teams,minutes,crosses,mean_crosses_per_90,sd_crosses_per_90
DFL-SEA-0001K6,2. Bundesliga,drawing,adv,25,14,582.0,103,15.796492849913145,14.078309800693953
DFL-SEA-0001K6,2. Bundesliga,drawing,disadv,25,14,582.0,31,4.400293885027258,6.409651734354264
DFL-SEA-0001K6,2. Bundesliga,drawing,even,302,18,26424.0,2787,9.294640848152367,7.385941565987695
DFL-SEA-0001K6,2. Bundesliga,leading,adv,38,17,1157.0,123,8.284425911017692,6.710200100556037
DFL-SEA-0001K6,2. Bundesliga,leading,disadv,9,9,86.0,2,3.111111111111111,6.489307444643929
DFL-SEA-0001K6,2. Bundesliga,leading,even,279,18,14071.0,1105,7.043643945235236,6.51941149683462
DFL-SEA-0001K6,2. Bundesliga,trailing,adv,9,6,86.0,12,10.410019931759061,8.73064748496742
DFL-SEA-0001K6,2. Bundesliga,trailing,disadv,38,16,1157.0,92,6.599264548094624,5.5012610977310175
DFL-SEA-0001K6,2. Bundesliga,trailing,even,279,18,14071.0,1871,11.362611032631953,8.684319897909859
DFL-SEA-0001K6,Bundesliga,drawing,adv,27,11,371.0,66,12.488426176087582,11.889523958980067
DFL-SEA-0001K6,Bundesliga,drawing,disadv,27,13,371.0,17,3.9982433475977235,6.973680739544264
DFL-SEA-0001K6,Bundesliga,drawing,even,304,18,24732.0,2398,8.092419358892059,7.1745562341091365
DFL-SEA-0001K6,Bundesliga,leading,adv,23,11,871.0,99,9.204362286794419,7.754518908771421
DFL-SEA-0001K6,Bundesliga,leading,disadv,13,8,331.0,12,2.4991688849705986,2.7812626266309572
DFL-SEA-0001K6,Bundesliga,leading,even,279,18,15188.0,1033,6.381528650681139,8.34153920953662
DFL-SEA-0001K6,Bundesliga,trailing,adv,13,11,331.0,93,25.915902541910533,14.551658662656736
DFL-SEA-0001K6,Bundesliga,trailing,disadv,23,15,871.0,43,3.8728379582214587,3.525523630072007
DFL-SEA-0001K6,Bundesliga,trailing,even,279,18,15188.0,1698,9.630924868333587,7.301096699756509
DFL-SEA-0001K7,2. Bundesliga,drawing,adv,30,17,616.0,91,10.883642693834638,9.966832444404075
DFL-SEA-0001K7,2. Bundesliga,drawing,disadv,30,16,616.0,28,4.966515703045246,8.006189925759962
DFL-SEA-0001K7,2. Bundesliga,drawing,even,306,18,24536.0,2365,8.642546536540847,6.7986153832942815
DFL-SEA-0001K7,2. Bundesliga,leading,adv,44,16,1254.0,118,5.861926151454117,6.896390501599484
DFL-SEA-0001K7,2. Bundesliga,leading,disadv,15,11,283.0,5,1.1910594476517398,2.282084693033639
