EventId,TeamId,MatchId,PlayerId,GameTime,X,Y,X_rec,Y_rec,Evaluation,IsCross,IsCorner,InGameSection,NumDefInBox,NumAttInBox,ScoreHome,ScoreGuest,MatchStateForTeam,AnyRedBeforeCross,RedForOwnTeam,RedForOppTeam,ShotEventId,ShotPlayerId,ShotGameTime,ShotTimeSec,ShotX,ShotY,ShotxG,ShotResult,ShotInGameSection,ShotNumDefInBox,ShotNumAttInBox
18703300000382,DFL-CLU-00000D,DFL-MAT-J040BD,DFL-OBJ-0028LS,019:47:51,43.07,-24.19,42.52,-2.02,successfullyCompleted,True,False,firstHalf,7.0,5.0,1,0,losing,False,False,False,18703300000383,DFL-OBJ-J01K8D,019:48:72,1188.72,42.6,-2.02,0.1166,shotWide,firstHalf,8.0,5.0
18703300000436,DFL-CLU-00000D,DFL-MAT-J040BD,DFL-OBJ-0025AD,022:52:48,39.33,19.25,40.51,16.69,unsuccessful,True,False,firstHalf,4.0,3.0,1,0,losing,False,False,False,18703300000438,DFL-OBJ-0027YK,022:54:11,1374.11,48.26,-2.06,0.5492,successfulShot,firstHalf,8.0,5.0
18703300000940,DFL-CLU-00000D,DFL-MAT-J040BD,DFL-OBJ-0028LS,051:39:40,-51.64,23.62,-45.8,-2.66,successfullyCompleted,True,False,secondHalf,4.0,2.0,2,1,losing,False,False,False,18703300000941,DFL-OBJ-0027YK,051:41:15,3101.15,-46.21,-3.06,0.1144,shotWide,secondHalf,6.0,3.0
18703300001383,DFL-CLU-000017,DFL-MAT-J040BD,DFL-OBJ-0027IT,081:28:92,40.23,30.01,45.4,-1.83,unsuccessful,True,False,secondHalf,4.0,2.0,2,3,losing,False,False,False,18703300001386,DFL-OBJ-0002F6,081:32:92,4892.92,45.48,4.29,0.0981,savedShot,secondHalf,8.0,5.0
18703400000205,DFL-CLU-000N5P,DFL-MAT-J040BE,DFL-OBJ-J01QVA,014:09:44,-29.46,34.37,-44.56,6.89,successfullyCompleted,True,False,firstHalf,9.0,4.0,1,0,losing,True,True,False,18703400000207,DFL-OBJ-J01IZ9,014:11:75,851.75,-44.62,6.91,0.104,blockedShot,firstHalf,10.0,5.0
18703400000783,DFL-CLU-000007,DFL-MAT-J040BE,DFL-OBJ-J02324,046:12:19,-34.25,-20.49,-43.47,-2.34,unsuccessful,True,False,secondHalf,6.0,3.0,1,0,winning,True,False,True,18703400000787,DFL-OBJ-002666,046:19:19,2779.19,-32.67,-2.15,0.0505,successfulShot,secondHalf,5.0,2.0
18703400000802,DFL-CLU-000007,DFL-MAT-J040BE,DFL-OBJ-J02324,048:53:36,-44.82,-27.07,-43.86,-2.89,successfullyCompleted,True,False,secondHalf,9.0,6.0,2,0,winning,True,False,True,18703400000805,DFL-OBJ-002G5S,048:54:96,2934.96,-44.16,-3.2,0.0865,blockedShot,secondHalf,10.0,5.0
18703400000977,DFL-CLU-000007,DFL-MAT-J040BE,DFL-OBJ-000280,059:12:51,-51.74,-20.99,-47.24,2.38,unsuccessful,True,False,secondHalf,8.0,4.0,2,0,winning,True,False,True,18703400000979,DFL-OBJ-0028RM,059:16:19,3556.19,-35.93,2.52,0.0871,shotWide,secondHalf,9.0,4.0
18703400001097,DFL-CLU-000007,DFL-MAT-J040BE,DFL-OBJ-J02324,065:44:84,-50.27,-20.94,-50.14,-19.98,unsuccessful,True,False,secondHalf,6.0,4.0,2,0,winning,True,False,True,18703400001100,DFL-OBJ-J01BSN,065:49:19,3949.19,-42.87,-18.39,0.0211,savedShot,secondHalf,9.0,5.0
18703500000998,DFL-CLU-00000G,DFL-MAT-J040BF,DFL-OBJ-0000IA,054:41:19,-34.42,-26.08,-35.6,-23.43,unsuccessful,True,False,secondHalf,7.0,4.0,0,2,winning,False,False,False,18703500001001,DFL-OBJ-0027G6,054:43:32,3283.32,-34.32,-6.82,0.0393,blockedShot,secondHalf,7.0,5.0
18703600000552,DFL-CLU-000018,DFL-MAT-J040BG,DFL-OBJ-002G76,036:10:48,-50.99,-26.51,-43.63,-4.31,unsuccessful,True,False,firstHalf,6.0,3.0,0,2,losing,False,False,False,18703600000554,DFL-OBJ-0027BI,036:17:80,2177.8,-31.15,-9.77,0.0273,blockedShot,firstHalf,5.0,2.0
18703600000618,DFL-CLU-000018,DFL-MAT-J040BG,DFL-OBJ-002GA9,039:31:23,-33.27,27.67,-41.18,-1.46,successfullyCompleted,True,False,firstHalf,5.0,4.0,0,2,losing,False,False,False,18703600000620,DFL-OBJ-0028T0,039:33:07,2373.07,-41.23,-1.36,0.0543,blockedShot,firstHalf,6.0,4.0
18703600001436,DFL-CLU-000018,DFL-MAT-J040BG,DFL-OBJ-002GNV,088:37:84,43.93,23.43,51.37,-6.03,successfullyCompleted,True,False,secondHalf,7.0,4.0,1,4,losing,False,False,False,18703600001437,DFL-OBJ-J01GHT,088:39:52,5319.52,52.07,-5.85,0.2018,savedShot,secondHalf,8.0,4.0
18703700000022,DFL-CLU-00000A,DFL-MAT-J040BH,DFL-OBJ-0027WP,000:59:39,-43.92,-34.6,-42.58,-3.27,successfullyCompleted,True,False,firstHalf,8.0,5.0,0,0,drawing,False,False,False,18703700000023,DFL-OBJ-0000ZS,001:02:07,62.07,-42.35,-2.82,0.0718,savedShot,firstHalf,9.0,5.0
18703700000399,DFL-CLU-00000A,DFL-MAT-J040BH,DFL-OBJ-0027WP,030:59:72,-28.04,-34.59,-40.22,-5.25,successfullyCompleted,True,False,firstHalf,7.0,5.0,1,0,winning,False,False,False,18703700000402,DFL-OBJ-002GJN,031:03:03,1863.03,-41.61,3.7,0.0526,savedShot,firstHalf,9.0,4.0
18703700000707,DFL-CLU-00000A,DFL-MAT-J040BH,DFL-OBJ-002GJN,045:24:40,26.32,-21.84,44.14,0.6,successfullyCompleted,True,False,secondHalf,4.0,3.0,1,1,drawing,False,False,False,18703700000708,DFL-OBJ-J01FO8,045:26:07,2726.07,44.77,0.36,0.3809,shotWide,secondHalf,6.0,3.0
18703700001195,DFL-CLU-00000A,DFL-MAT-J040BH,DFL-OBJ-0001E6,089:38:15,32.03,28.07,45.51,0.4,unsuccessful,True,False,secondHalf,6.0,6.0,1,3,losing,False,False,False,18703700001197,DFL-OBJ-00258B,089:40:96,5380.96,41.63,4.95,0.1053,shotWide,secondHalf,9.0,6.0
18703700001306,DFL-CLU-00000A,DFL-MAT-J040BH,DFL-OBJ-0001E6,096:22:00,30.99,-26.16,42.9,-6.44,successfullyCompleted,True,False,secondHalf,9.0,7.0,1,3,losing,False,False,False,18703700001308,DFL-OBJ-00258B,096:23:15,5783.15,43.38,-6.71,0.0743,shotWide,secondHalf,10.0,7.0
18703700000360,DFL-CLU-00000A,DFL-MAT-J040BH,DFL-OBJ-0027WP,026:03:03,-44.06,-34.31,-47.35,-6.65,successfullyCompleted,True,False,firstHalf,8.0,6.0,0,0,drawing,False,False,False,18703700000362,DFL-OBJ-002GJN,026:06:11,1566.11,-45.93,2.29,0.1803,successfulShot,firstHalf,9.0,6.0
18703800000023,DFL-CLU-000010,DFL-MAT-J040BI,DFL-OBJ-J01KEV,000:43:32,48.68,29.25,47.04,5.48,unsuccessful,True,False,firstHalf,5.0,3.0,0,0,drawing,False,False,False,18703800000026,DFL-OBJ-0026VB,000:46:64,46.64,38.76,-5.88,0.0412,shotWide,firstHalf,7.0,4.0
18703800000116,DFL-CLU-000010,DFL-MAT-J040BI,DFL-OBJ-J017TJ,005:55:80,48.57,24.6,44.48,0.51,successfullyCompleted,True,False,firstHalf,4.0,2.0,0,0,drawing,False,False,False,18703800000118,DFL-OBJ-0026VB,005:57:27,357.27,44.17,0.52,0.0618,savedShot,firstHalf,8.0,3.0
18703800000121,DFL-CLU-000010,DFL-MAT-J040BI,DFL-OBJ-0002IG,006:17:43,49.14,-30.47,43.65,-5.02,successfullyCompleted,True,False,firstHalf,8.0,5.0,0,0,drawing,False,False,False,18703800000122,DFL-OBJ-J01FX8,006:18:63,378.63,44.12,-5.35,0.0531,shotWide,firstHalf,9.0,5.0
18703800000605,DFL-CLU-000010,DFL-MAT-J040BI,DFL-OBJ-J01KEV,031:54:16,31.72,25.28,45.85,1.35,successfullyCompleted,True,False,firstHalf,10.0,7.0,0,0,drawing,False,False,False,18703800000608,DFL-OBJ-0026VB,031:55:51,1915.51,46.14,1.57,0.1817,blockedShot,firstHalf,10.0,7.0
18703800000621,DFL-CLU-000010,DFL-MAT-J040BI,DFL-OBJ-J01KEV,033:42:83,45.59,29.26,49.83,-7.69,successfullyCompleted,True,False,firstHalf,10.0,6.0,0,0,drawing,False,False,False,18703800000623,DFL-OBJ-0026TP,033:45:88,2025.88,49.13,-7.31,0.1028,shotWide,firstHalf,11.0,6.0
18703800000745,DFL-CLU-000010,DFL-MAT-J040BI,DFL-OBJ-J017LG,041:38:44,28.77,-25.06,44.41,-2.34,successfullyCompleted,True,False,firstHalf,1.0,0.0,1,0,winning,False,False,False,18703800000746,DFL-OBJ-J01FUR,041:40:15,2500.15,44.86,-2.67,0.3791,savedShot,firstHalf,5.0,2.0
18703800000753,DFL-CLU-000010,DFL-MAT-J040BI,DFL-OBJ-0026VB,042:31:23,33.91,-22.28,32.25,9.55,successfullyCompleted,True,False,firstHalf,0.0,0.0,1,0,winning,False,False,False,18703800000754,DFL-OBJ-J01FUR,042:34:63,2554.63,34.51,8.07,0.0566,shotWide,firstHalf,5.0,1.0
18703800000920,DFL-CLU-000010,DFL-MAT-J040BI,DFL-OBJ-J01FX8,051:43:36,-41.68,34.54,-47.67,2.64,successfullyCompleted,True,False,secondHalf,9.0,6.0,1,0,winning,False,False,False,18703800000923,DFL-OBJ-J017LG,051:47:40,3107.4,-47.76,2.64,0.2316,shotWide,secondHalf,10.0,5.0
18703800001230,DFL-CLU-000010,DFL-MAT-J040BI,DFL-OBJ-002GJF,071:19:31,-43.18,33.77,-41.37,9.87,successfullyCompleted,True,False,secondHalf,9.0,5.0,1,1,drawing,False,False,False,18703800001233,DFL-OBJ-0026TP,071:24:23,4284.23,-39.83,-2.87,0.0151,shotWide,secondHalf,10.0,6.0
18703800001325,DFL-CLU-000010,DFL-MAT-J040BI,DFL-OBJ-002GJF,077:45:96,-31.36,34.17,-42.66,2.31,successfullyCompleted,True,False,secondHalf,6.0,4.0,1,1,drawing,False,False,False,18703800001329,DFL-OBJ-0026TP,077:51:72,4671.72,-48.82,-5.43,0.0773,savedShot,secondHalf,9.0,6.0
18703800001629,DFL-CLU-00000V,DFL-MAT-J040BI,DFL-OBJ-0001EA,093:40:96,35.5,30.76,38.87,-2.83,successfullyCompleted,True,False,secondHalf,0.0,0.0,1,1,drawing,False,False,False,18703800001631,DFL-OBJ-J021ZE,093:43:88,5623.88,41.36,-4.1,0.2311,successfulShot,secondHalf,5.0,2.0
18703900000298,DFL-CLU-000006,DFL-MAT-J040BJ,DFL-OBJ-00278Q,024:46:88,38.35,19.13,43.5,3.7,successfullyCompleted,True,False,firstHalf,6.0,4.0,0,0,drawing,False,False,False,18703900000299,DFL-OBJ-002FU7,024:47:83,1487.83,43.56,3.56,0.0848,shotWide,firstHalf,7.0,3.0
