match_id,end_min_first_half,end_min_second_half,duration_first_half,duration_second_half
DFL-MAT-J03WEL,47,91,47,44
DFL-MAT-J03WEM,49,96,49,47
DFL-MAT-J03WEN,47,94,47,47
DFL-MAT-J03WEO,50,95,50,45
DFL-MAT-J03WEP,48,92,48,44
DFL-MAT-J03WEQ,48,95,48,47
DFL-MAT-J03WER,49,98,49,49
DFL-MAT-J03WES,48,91,48,43
DFL-MAT-J03WET,49,98,49,49
DFL-MAT-J03WEU,49,95,49,46
DFL-MAT-J03WEV,52,98,52,46
DFL-MAT-J03WEW,48,93,48,45
DFL-MAT-J03WEX,46,94,46,48
DFL-MAT-J03WEY,48,93,48,45
DFL-MAT-J03WEZ,49,96,49,47
DFL-MAT-J03WF0,47,96,47,49
DFL-MAT-J03WF1,48,95,48,47
DFL-MAT-J03WF2,49,97,49,48
DFL-MAT-J03WF3,49,97,49,48
DFL-MAT-J03WF4,48,93,48,45
DFL-MAT-J03WF5,47,95,47,48
DFL-MAT-J03WF6,47,96,47,49
DFL-MAT-J03WF7,48,98,48,50
DFL-MAT-J03WF8,49,97,49,48
DFL-MAT-J03WF9,48,90,48,42
DFL-MAT-J03WFA,48,95,48,47
DFL-MAT-J03WFB,47,99,47,52
DFL-MAT-J03WFC,48,97,48,49
DFL-MAT-J03WFD,47,96,47,49
DFL-MAT-J03WFE,46,95,46,49
DFL-MAT-J03WFF,49,96,49,47
DFL-MAT-J03WFG,47,95,47,48
DFL-MAT-J03WFH,48,95,48,47
DFL-MAT-J03WFI,46,95,46,49
DFL-MAT-J03WFJ,49,91,49,42
DFL-MAT-J03WFK,48,97,48,49
DFL-MAT-J03WFL,47,94,47,47
DFL-MAT-J03WFM,51,94,51,43
DFL-MAT-J03WFN,46,95,46,49
DFL-MAT-J03WFO,48,96,48,48
DFL-MAT-J03WFP,48,91,48,43
DFL-MAT-J03WFQ,50,93,50,43
DFL-MAT-J03WFR,46,100,46,54
DFL-MAT-J03WFS,47,95,47,48
DFL-MAT-J03WFT,50,94,50,44
DFL-MAT-J03WFU,46,96,46,50
DFL-MAT-J03WFV,47,91,47,44
DFL-MAT-J03WFW,48,93,48,45
DFL-MAT-J03WFX,49,95,49,46
DFL-MAT-J03WFY,51,94,51,43
DFL-MAT-J03WFZ,47,96,47,49
DFL-MAT-J03WG0,47,95,47,48
DFL-MAT-J03WG1,50,97,50,47
DFL-MAT-J03WG2,50,98,50,48
DFL-MAT-J03WG3,47,95,47,48
DFL-MAT-J03WG4,47,94,47,47
DFL-MAT-J03WG5,47,98,47,51
DFL-MAT-J03WG6,47,94,47,47
DFL-MAT-J03WG7,48,95,48,47
DFL-MAT-J03WG8,45,96,45,51
DFL-MAT-J03WG9,46,94,46,48
DFL-MAT-J03WGA,47,95,47,48
DFL-MAT-J03WGB,49,95,49,46
DFL-MAT-J03WGC,46,91,46,45
DFL-MAT-J03WGD,47,91,47,44
DFL-MAT-J03WGE,47,95,47,48
DFL-MAT-J03WGF,48,95,48,47
DFL-MAT-J03WGG,47,95,47,48
DFL-MAT-J03WGH,48,96,48,48
DFL-MAT-J03WGI,47,95,47,48
DFL-MAT-J03WGJ,47,98,47,51
DFL-MAT-J03WGK,46,91,46,45
DFL-MAT-J03WGL,47,96,47,49
DFL-MAT-J03WGM,47,93,47,46
DFL-MAT-J03WGN,46,95,46,49
DFL-MAT-J03WGO,49,97,49,48
DFL-MAT-J03WGP,50,94,50,44
DFL-MAT-J03WGQ,46,95,46,49
DFL-MAT-J03WGR,49,94,49,45
DFL-MAT-J03WGS,48,95,48,47
DFL-MAT-J03WGT,46,94,46,48
DFL-MAT-J03WGU,46,91,46,45
DFL-MAT-J03WGV,47,96,47,49
DFL-MAT-J03WGW,47,95,47,48
DFL-MAT-J03WGX,50,95,50,45
DFL-MAT-J03WGY,50,91,50,41
DFL-MAT-J03WGZ,47,94,47,47
DFL-MAT-J03WH0,48,96,48,48
DFL-MAT-J03WH1,48,91,48,43
DFL-MAT-J03WH2,47,97,47,50
DFL-MAT-J03WH3,47,91,47,44
DFL-MAT-J03WH4,47,95,47,48
DFL-MAT-J03WH5,47,96,47,49
DFL-MAT-J03WH6,48,91,48,43
DFL-MAT-J03WH7,47,96,47,49
DFL-MAT-J03WH8,47,100,47,53
DFL-MAT-J03WH9,47,95,47,48
DFL-MAT-J03WHA,47,95,47,48
DFL-MAT-J03WHB,49,97,49,48
DFL-MAT-J03WHC,49,91,49,42
DFL-MAT-J03WHD,47,94,47,47
DFL-MAT-J03WHE,47,98,47,51
DFL-MAT-J03WHF,46,96,46,50
DFL-MAT-J03WHG,47,96,47,49
DFL-MAT-J03WHH,47,91,47,44
DFL-MAT-J03WHI,49,96,49,47
DFL-MAT-J03WHJ,49,95,49,46
DFL-MAT-J03WHK,48,94,48,46
DFL-MAT-J03WHL,48,93,48,45
DFL-MAT-J03WHM,46,91,46,45
DFL-MAT-J03WHN,45,94,45,49
DFL-MAT-J03WHO,48,93,48,45
DFL-MAT-J03WHP,51,94,51,43
DFL-MAT-J03WHQ,49,95,49,46
DFL-MAT-J03WHR,46,95,46,49
DFL-MAT-J03WHS,48,95,48,47
DFL-MAT-J03WHT,47,95,47,48
DFL-MAT-J03WHU,47,91,47,44
DFL-MAT-J03WHV,49,96,49,47
DFL-MAT-J03WHW,50,94,50,44
DFL-MAT-J03WHX,48,95,48,47
DFL-MAT-J03WHY,48,95,48,47
DFL-MAT-J03WHZ,47,97,47,50
DFL-MAT-J03WI0,48,96,48,48
DFL-MAT-J03WI1,48,99,48,51
DFL-MAT-J03WI2,46,97,46,51
DFL-MAT-J03WI3,46,94,46,48
DFL-MAT-J03WI4,47,90,47,43
DFL-MAT-J03WI5,48,95,48,47
DFL-MAT-J03WI6,52,96,52,44
DFL-MAT-J03WI7,46,95,46,49
DFL-MAT-J03WI8,50,95,50,45
DFL-MAT-J03WI9,48,95,48,47
DFL-MAT-J03WIA,47,93,47,46
DFL-MAT-J03WIB,46,95,46,49
DFL-MAT-J03WIC,50,95,50,45
DFL-MAT-J03WID,48,95,48,47
DFL-MAT-J03WIE,50,97,50,47
DFL-MAT-J03WIF,48,91,48,43
DFL-MAT-J03WIG,48,97,48,49
DFL-MAT-J03WIH,48,97,48,49
DFL-MAT-J03WII,49,94,49,45
DFL-MAT-J03WIJ,48,94,48,46
DFL-MAT-J03WIK,48,95,48,47
DFL-MAT-J03WIL,46,94,46,48
DFL-MAT-J03WIM,48,96,48,48
DFL-MAT-J03WIN,49,94,49,45
DFL-MAT-J03WIO,48,96,48,48
DFL-MAT-J03WIP,51,97,51,46
DFL-MAT-J03WIQ,49,94,49,45
DFL-MAT-J03WIR,49,93,49,44
DFL-MAT-J03WIS,50,93,50,43
DFL-MAT-J03WIT,50,96,50,46
DFL-MAT-J03WIU,48,94,48,46
DFL-MAT-J03WIV,47,95,47,48
DFL-MAT-J03WIW,46,97,46,51
DFL-MAT-J03WIX,48,95,48,47
DFL-MAT-J03WIY,49,95,49,46
DFL-MAT-J03WIZ,50,97,50,47
DFL-MAT-J03WJ0,48,95,48,47
DFL-MAT-J03WJ1,48,94,48,46
DFL-MAT-J03WJ2,49,98,49,49
DFL-MAT-J03WJ3,47,91,47,44
DFL-MAT-J03WJ4,47,97,47,50
DFL-MAT-J03WJ5,48,95,48,47
DFL-MAT-J03WJ6,47,95,47,48
DFL-MAT-J03WJ7,47,95,47,48
DFL-MAT-J03WJ8,48,96,48,48
DFL-MAT-J03WJ9,48,95,48,47
DFL-MAT-J03WJA,47,96,47,49
DFL-MAT-J03WJB,48,95,48,47
DFL-MAT-J03WJC,47,93,47,46
DFL-MAT-J03WJD,48,98,48,50
DFL-MAT-J03WJE,48,98,48,50
DFL-MAT-J03WJF,49,94,49,45
DFL-MAT-J03WJG,48,95,48,47
DFL-MAT-J03WJH,48,94,48,46
DFL-MAT-J03WJI,47,97,47,50
DFL-MAT-J03WJJ,47,98,47,51
DFL-MAT-J03WJK,48,97,48,49
DFL-MAT-J03WJL,50,96,50,46
DFL-MAT-J03WJM,54,96,54,42
DFL-MAT-J03WJN,48,97,48,49
DFL-MAT-J03WJO,49,95,49,46
DFL-MAT-J03WJP,48,95,48,47
DFL-MAT-J03WJQ,48,95,48,47
DFL-MAT-J03WJR,47,97,47,50
DFL-MAT-J03WJS,47,96,47,49
DFL-MAT-J03WJT,48,94,48,46
DFL-MAT-J03WJU,47,93,47,46
DFL-MAT-J03WJV,47,95,47,48
DFL-MAT-J03WJW,47,94,47,47
DFL-MAT-J03WJX,47,97,47,50
DFL-MAT-J03WJY,50,94,50,44
DFL-MAT-J03WJZ,49,98,49,49
DFL-MAT-J03WK0,47,95,47,48
DFL-MAT-J03WK1,47,97,47,50
DFL-MAT-J03WK2,48,93,48,45
DFL-MAT-J03WK3,49,96,49,47
DFL-MAT-J03WK4,47,94,47,47
DFL-MAT-J03WK5,47,93,47,46
DFL-MAT-J03WK6,49,96,49,47
DFL-MAT-J03WK7,46,96,46,50
DFL-MAT-J03WK8,51,96,51,45
DFL-MAT-J03WK9,47,95,47,48
DFL-MAT-J03WKA,47,95,47,48
DFL-MAT-J03WKB,46,96,46,50
DFL-MAT-J03WKC,48,94,48,46
DFL-MAT-J03WKD,46,94,46,48
DFL-MAT-J03WKE,47,96,47,49
DFL-MAT-J03WKF,48,94,48,46
DFL-MAT-J03WKG,47,95,47,48
DFL-MAT-J03WKH,48,95,48,47
DFL-MAT-J03WKI,50,93,50,43
DFL-MAT-J03WKJ,47,93,47,46
DFL-MAT-J03WKK,47,95,47,48
DFL-MAT-J03WKL,48,91,48,43
DFL-MAT-J03WKM,48,98,48,50
DFL-MAT-J03WKN,46,95,46,49
DFL-MAT-J03WKO,48,97,48,49
DFL-MAT-J03WKP,47,94,47,47
DFL-MAT-J03WKQ,46,96,46,50
DFL-MAT-J03WKR,46,95,46,49
DFL-MAT-J03WKS,49,101,49,52
DFL-MAT-J03WKT,46,96,46,50
DFL-MAT-J03WKU,48,95,48,47
DFL-MAT-J03WKV,48,95,48,47
DFL-MAT-J03WKW,49,93,49,44
DFL-MAT-J03WKX,46,95,46,49
DFL-MAT-J03WKY,47,94,47,47
DFL-MAT-J03WKZ,48,95,48,47
DFL-MAT-J03WL0,47,97,47,50
DFL-MAT-J03WL1,47,95,47,48
DFL-MAT-J03WL2,47,97,47,50
DFL-MAT-J03WL3,48,95,48,47
DFL-MAT-J03WL4,49,96,49,47
DFL-MAT-J03WL5,49,96,49,47
DFL-MAT-J03WL6,47,96,47,49
DFL-MAT-J03WL7,47,98,47,51
DFL-MAT-J03WL8,47,94,47,47
DFL-MAT-J03WL9,47,97,47,50
DFL-MAT-J03WLA,51,94,51,43
DFL-MAT-J03WLB,50,95,50,45
DFL-MAT-J03WLC,46,97,46,51
DFL-MAT-J03WLD,48,95,48,47
DFL-MAT-J03WLE,50,95,50,45
DFL-MAT-J03WLF,48,95,48,47
DFL-MAT-J03WLG,49,96,49,47
DFL-MAT-J03WLH,46,94,46,48
DFL-MAT-J03WLI,47,98,47,51
DFL-MAT-J03WLJ,50,99,50,49
DFL-MAT-J03WLK,47,97,47,50
DFL-MAT-J03WLL,48,94,48,46
DFL-MAT-J03WLM,48,95,48,47
DFL-MAT-J03WLN,47,92,47,45
DFL-MAT-J03WLO,48,96,48,48
DFL-MAT-J03WLP,50,97,50,47
DFL-MAT-J03WLQ,50,95,50,45
DFL-MAT-J03WLR,48,93,48,45
DFL-MAT-J03WLS,49,96,49,47
DFL-MAT-J03WLT,48,97,48,49
DFL-MAT-J03WLU,49,94,49,45
DFL-MAT-J03WLV,47,95,47,48
DFL-MAT-J03WLW,47,94,47,47
DFL-MAT-J03WLX,48,96,48,48
DFL-MAT-J03WLY,47,95,47,48
DFL-MAT-J03WLZ,48,95,48,47
DFL-MAT-J03WM0,47,99,47,52
DFL-MAT-J03WM1,48,99,48,51
DFL-MAT-J03WM2,52,96,52,44
DFL-MAT-J03WM3,47,91,47,44
DFL-MAT-J03WM4,48,97,48,49
DFL-MAT-J03WM5,46,96,46,50
DFL-MAT-J03WM6,47,105,47,58
DFL-MAT-J03WM7,49,97,49,48
DFL-MAT-J03WM8,48,95,48,47
DFL-MAT-J03WM9,47,95,47,48
DFL-MAT-J03WMA,48,96,48,48
DFL-MAT-J03WMB,47,96,47,49
DFL-MAT-J03WMC,50,94,50,44
DFL-MAT-J03WMD,47,95,47,48
DFL-MAT-J03WME,47,99,47,52
DFL-MAT-J03WMF,49,98,49,49
DFL-MAT-J03WMG,51,94,51,43
DFL-MAT-J03WMH,47,93,47,46
DFL-MAT-J03WMI,47,94,47,47
DFL-MAT-J03WMJ,49,95,49,46
DFL-MAT-J03WMK,46,96,46,50
DFL-MAT-J03WML,47,96,47,49
DFL-MAT-J03WMM,47,97,47,50
DFL-MAT-J03WMN,47,95,47,48
DFL-MAT-J03WMO,49,96,49,47
DFL-MAT-J03WMP,54,100,54,46
DFL-MAT-J03WMQ,49,95,49,46
DFL-MAT-J03WMR,46,98,46,52
DFL-MAT-J03WMS,48,96,48,48
