Season,Competition,LineUp,MatchTeamCount,ShareWithinSeasonCompetitionPct
2022/2023,2. Bundesliga,4-2-3-1,129,21.0784
2022/2023,2. Bundesliga,4-4-2,112,18.3007
2022/2023,2. Bundesliga,3-4-1-2,85,13.8889
2022/2023,2. Bundesliga,4-3-3,81,13.2353
2022/2023,2. Bundesliga,3-3-2-2,75,12.2549
2022/2023,2. Bundesliga,3-4-3,38,6.2092
2022/2023,2. Bundesliga,3-4-2-1,27,4.4118
2022/2023,2. Bundesliga,4-1-4-1,19,3.1046
2022/2023,2. Bundesliga,4-1-3-2,15,2.451
2022/2023,2. Bundesliga,4-5-1,15,2.451
2022/2023,2. Bundesliga,3-1-4-2,13,2.1242
2022/2023,2. Bundesliga,4-4-1-1,2,0.3268
2022/2023,2. Bundesliga,5-3-2,1,0.1634
2022/2023,Bundesliga,4-2-3-1,150,24.5098
2022/2023,Bundesliga,3-3-2-2,146,23.8562
2022/2023,Bundesliga,4-4-2,75,12.2549
2022/2023,Bundesliga,3-4-2-1,71,11.6013
2022/2023,Bundesliga,4-3-3,64,10.4575
2022/2023,Bundesliga,3-4-3,34,5.5556
2022/2023,Bundesliga,4-5-1,34,5.5556
2022/2023,Bundesliga,3-4-1-2,16,2.6144
2022/2023,Bundesliga,4-1-3-2,9,1.4706
2022/2023,Bundesliga,4-1-4-1,8,1.3072
2022/2023,Bundesliga,3-1-4-2,4,0.6536
2022/2023,Bundesliga,4-4-1-1,1,0.1634
2023/2024,2. Bundesliga,4-2-3-1,97,15.8497
2023/2024,2. Bundesliga,3-4-3,95,15.5229
2023/2024,2. Bundesliga,4-3-3,91,14.8693
2023/2024,2. Bundesliga,4-4-2,81,13.2353
2023/2024,2. Bundesliga,3-4-2-1,76,12.4183
2023/2024,2. Bundesliga,3-4-1-2,66,10.7843
2023/2024,2. Bundesliga,3-3-2-2,57,9.3137
2023/2024,2. Bundesliga,4-5-1,30,4.902
2023/2024,2. Bundesliga,4-1-4-1,11,1.7974
2023/2024,2. Bundesliga,4-1-3-2,4,0.6536
2023/2024,2. Bundesliga,5-3-2,2,0.3268
2023/2024,2. Bundesliga,3-1-4-2,1,0.1634
2023/2024,2. Bundesliga,3-3-3-1,1,0.1634
2023/2024,Bundesliga,4-2-3-1,150,24.5098
2023/2024,Bundesliga,3-4-2-1,120,19.6078
2023/2024,Bundesliga,4-4-2,107,17.4837
2023/2024,Bundesliga,3-3-2-2,95,15.5229
2023/2024,Bundesliga,4-3-3,38,6.2092
2023/2024,Bundesliga,3-4-3,33,5.3922
2023/2024,Bundesliga,3-4-1-2,20,3.268
2023/2024,Bundesliga,4-5-1,14,2.2876
2023/2024,Bundesliga,4-1-3-2,10,1.634
2023/2024,Bundesliga,4-1-4-1,10,1.634
2023/2024,Bundesliga,3-1-4-2,7,1.1438
2023/2024,Bundesliga,3-3-3-1,3,0.4902
2023/2024,Bundesliga,4-4-1-1,3,0.4902
2023/2024,Bundesliga,5-4-1,2,0.3268
2024/2025,2. Bundesliga,3-4-2-1,113,18.4641
2024/2025,2. Bundesliga,4-2-3-1,109,17.8105
2024/2025,2. Bundesliga,3-3-2-2,101,16.5033
2024/2025,2. Bundesliga,4-4-2,101,16.5033
2024/2025,2. Bundesliga,3-4-1-2,60,9.8039
2024/2025,2. Bundesliga,3-4-3,44,7.1895
2024/2025,2. Bundesliga,4-3-3,39,6.3725
2024/2025,2. Bundesliga,4-5-1,22,3.5948
2024/2025,2. Bundesliga,3-1-4-2,7,1.1438
2024/2025,2. Bundesliga,4-1-4-1,6,0.9804
2024/2025,2. Bundesliga,4-1-3-2,4,0.6536
2024/2025,2. Bundesliga,5-3-2,4,0.6536
2024/2025,2. Bundesliga,4-4-1-1,1,0.1634
2024/2025,2. Bundesliga,5-4-1,1,0.1634
2024/2025,Bundesliga,4-2-3-1,151,24.6732
2024/2025,Bundesliga,3-4-2-1,137,22.3856
2024/2025,Bundesliga,3-3-2-2,100,16.3399
2024/2025,Bundesliga,4-4-2,76,12.4183
2024/2025,Bundesliga,3-4-3,49,8.0065
2024/2025,Bundesliga,3-4-1-2,37,6.0458
2024/2025,Bundesliga,4-3-3,14,2.2876
2024/2025,Bundesliga,3-1-4-2,11,1.7974
2024/2025,Bundesliga,4-4-1-1,11,1.7974
2024/2025,Bundesliga,4-5-1,8,1.3072
2024/2025,Bundesliga,4-1-3-2,7,1.1438
2024/2025,Bundesliga,4-1-4-1,7,1.1438
2024/2025,Bundesliga,5-4-1,2,0.3268
2024/2025,Bundesliga,3-5-1-1,1,0.1634
2024/2025,Bundesliga,5-3-2,1,0.1634
